affiliation,item_id,item_type,title,item_url,authors,authors_with_affiliations,Awards
Adelaide University,214845,Workshops,XR for Challenging Environments - Enabling Human Performance and Agency under Stress,https://programs.sigchi.org/chi/2026/program/content/214845,"Raimund Schatz , Helmut Schrom-Feiertag , Guglielmo Papagni , Frank Steinicke , Lea Skorin-Kapov , Mark Billinghurst , Leif Oppermann , Georg Aumayr",Mark Billinghurst,
Adelaide University,222290,Papers,Exploring the Effects of Support Type and Task Difficulty for Virtual Assistants as Social Companions,https://programs.sigchi.org/chi/2026/program/content/222290,"Sei Kang , YunSu Lee , Gun A. Lee , Hyung-Jeong Yang , Soo-Hyung Kim , Ji-eun Shin , Seungwon Kim",Gun A. Lee,
Adelaide University,223269,Papers,Less is More! Visual Suppression for Bottom-up and Top-down Attention in Dynamic Environments,https://programs.sigchi.org/chi/2026/program/content/223269 ,"Chenkai Zhang , Ruochen Cao , Andrew Cunningham , James A. Walsh",Andrew Cunningham,
"Auckland Bioengineering Institute, The University of Auckland",222811,Papers,Towards LLM-powered Assistive Drone for Blind and Low Vision Users,https://programs.sigchi.org/chi/2026/program/content/222811,"Yize Wei , Ibnu Taimiyyah Bin Adam , Hanjun Wu , Moritz Alexander Messerschmidt , Wei Tsang Ooi , Christophe Jouffrais , Suranga Nanayakkara","Moritz Alexander Messerschmidt, Suranga Nanayakkara",
Australia National University,222209,Papers,InterFlow: Designing Unobtrusive AI to Empower Interviewers in Semi-Structured Interviews,https://programs.sigchi.org/chi/2026/program/content/222209,"Yi Wen , Yu Zhang , Sriram Suresh , Zhicong Lu , Can Liu , Meng Xia",Yu Zhang,
Australian National University,214843,Meet-up,SportsHCI Meet-Up: Exploring the Role of AI in the Evolving World of SportsHCI,https://programs.sigchi.org/chi/2026/program/content/214843,"Vincent van Rheden , Michelle Adiwangsa , Maria Fernanda Montoya , Ian Smith , Don Samitha Elvitigala , Daniel Harrison , Amon Rapp , Alexander Meschtscherjakov , Florian ‘Floyd’ Mueller",,
Australian National University,214853,Workshops,"Next Steps for Augmented Reality On-the-Move: Challenges and Opportunities
",https://programs.sigchi.org/chi/2026/program/content/214853,"Helen Stefanidi , Vincent van Rheden , Linjia He , Michelle Adiwangsa , Jan-Hendrik Sünderkamp , Alina Itzlinger , Andrii Matviienko , Julie R. Williamson , Ian Oakley , Markus Tatzgern , Alexander Meschtscherjakov","Helen Stefanidi, Jan-Hendrik Sünderkamp",
Australian National University,222275,Papers,"Signals of Success and Struggle: Early Prediction and Physiological Signatures of Human Performance across Task Complexity
",https://programs.sigchi.org/chi/2026/program/content/222275,"Yufei Cao , Penny Sweetser , Ziyu Chen , Xuanying Zhu",,
Australian National University,230103,Interactivity,"Last Christmas I Gave You My Heart: This Christmas I am Taking It Back with Multimodal XR
",https://programs.sigchi.org/chi/2026/program/content/230103,"Dezijian Zhou , Yuanyuan Deng , Anastasia Globa , Julie Zheng , Renxuan Liu , Xingting Wu , Tianrui Liu , Donald Degraen , Aaron Quigley",,
"Australian AI Institute, School of Computer Science, Faculty of Engineering and Information Technology, University of Technology Sydney",222363,Papers,PerEye: Co-Designing Extended Reality Rendering Attributes for Vision Health Diagnosis and Education,https://programs.sigchi.org/chi/2026/program/content/222363,"Howe Yuan Zhu , Jacinta Anne Walz , Nguyen Thanh Trung Le , Raymond Chia , Wenjing Su , Nissi Faith Obra , Ian Chivers , Kristine Nussbaum , Christopher Hodge , Chin-Teng Lin , Vincent Nguyen",,BEST PAPER
"Australian AI Institute, School of Computer Science, Faculty of Engineering and Information Technology, University of Technology Sydney",223268,Papers,TactDeform: Finger Pad Deformation Inspired Spatial Tactile Feedback for Virtual Geometry Exploration,https://programs.sigchi.org/chi/2026/program/content/223268,"Yihao Dong , Praneeth Bimsara Perera , Chin-Teng Lin , Craig T Jin , Anusha Withana",,
"Australian AI Institute, School of Computer Science, Faculty of Engineering and Information Technology, University of Technology Sydney",229672,Interactivity,TactDeform: Finger Pad Deformation Inspired Spatial Tactile Feedback for Virtual Geometry Exploration,https://programs.sigchi.org/chi/2026/program/content/229672,"Yihao Dong , Praneeth Bimsara Perera , Chin-Teng Lin , Craig T Jin , Anusha Withana",,
